id,category en,name mr,name en,category_mr,,,,,,,,,,,,,,,,,,,,,,,
208,Milk and Milk Products,???,Curd,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
209,Milk and Milk Products,???,Butter,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
210,Milk and Milk Products,???,Cheese,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
211,Milk and Milk Products,????,Paneer,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
212,Milk and Milk Products,???,Ghee,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
213,Milk and Milk Products,?????,Lassi,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
214,Milk and Milk Products,???,Khava,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
215,Milk and Milk Products,???????,ShriKhanda,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
216,Milk and Milk Products,???????,Amrakhanda,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
217,Milk and Milk Products,???????,Basundi,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
218,Milk and Milk Products,?????? ???,Flavoured Milk,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
219,Milk and Milk Products,????,Rabdi,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
220,Milk and Milk Products,?????????,IceCream,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
221,Milk and Milk Products,???,ButterMilk,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
222,Milk and Milk Products,??? ?????,Milk Powder,?????? ??????,,,,,,,,,,,,,,,,,,,,,,,
223,Dal,????? ???,Harbhara Dal,????,,,,,,,,,,,,,,,,,,,,,,,
224,Dal,??????,Toor Dal,????,,,,,,,,,,,,,,,,,,,,,,,
225,Dal,??????,Moong Dal,????,,,,,,,,,,,,,,,,,,,,,,,
226,Dal,???????,Matki Dal,????,,,,,,,,,,,,,,,,,,,,,,,
227,Dal,???????,Masoor Dal,????,,,,,,,,,,,,,,,,,,,,,,,
228,Dal,???????,Udid Dal,????,,,,,,,,,,,,,,,,,,,,,,,
229,Dal,????? ??????,Baked Peas Dal,????,,,,,,,,,,,,,,,,,,,,,,,
230,Flour,??????? ???,Wheat Flour,????,,,,,,,,,,,,,,,,,,,,,,,
231,Flour,???????? ???,Rice Flour,????,,,,,,,,,,,,,,,,,,,,,,,
