"id";"category en";"name mr";"name en";"category_mr";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"73";"Daily Products";"बेबी पेस्ट";"Baby Paste";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"74";"Daily Products";"टुथपेस्ट";"Toothpaste";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"75";"Daily Products";"बेबीशांपू";"Baby Shampoo";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"76";"Daily Products";"रेग्युलर शांपू";"Shampoo";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"77";"Daily Products";"बेबी ऑइल";"Baby Oil";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"78";"Daily Products";"टुथब्रश";"Tooth Brush";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"79";"Daily Products";"बॉडी वॉश";"Body Wash";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"80";"Daily Products";"फेस वॉश";"Face Wash";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"81";"Daily Products";"फेस क्रीम";"Face Cream";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"82";"Daily Products";"बॉडी लोशन";"Body Lotion";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"83";"Daily Products";"फेस पाउडर";"Powder";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"84";"Daily Products";"परफुम";"Perfume";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"85";"Daily Products";"हेअर ऑइल";"Hair Oil";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"86";"Daily Products";"जेल";"Gel";"वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"87";"Plastic Products";"बकेट";"Bucket";"प्लॅस्टिक प्रोडक्ट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"88";"Plastic Products";"मॅट";"Mat";"प्लॅस्टिक प्रोडक्ट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"89";"Plastic Products";"स्कूप";"Scoop";"प्लॅस्टिक प्रोडक्ट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"90";"Plastic Products";"मग";"Mug";"प्लॅस्टिक प्रोडक्ट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"91";"Plastic Products";"डस्टबिन";"Dustbin";"प्लॅस्टिक प्रोडक्ट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"92";"Plastic Products";"झाडू";"Broom";"प्लॅस्टिक प्रोडक्ट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"93";"Plastic Products";"मौफ";"Mop";"प्लॅस्टिक प्रोडक्ट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"94";"Plastic Products";"टोयलेट ब्रश";"Toilet Brush";"प्लॅस्टिक प्रोडक्ट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"95";"Plastic Products";"कपड्याचा ब्रश";"Clothes Brush";"प्लॅस्टिक प्रोडक्ट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"96";"Plastic Products";"तारेची घासणी";"Steel Rub";"प्लॅस्टिक प्रोडक्ट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"97";"Plastic Products";"नायलोण घासणी";"Nylon Rub";"प्लॅस्टिक प्रोडक्ट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"98";"Plastic Products";"स्क्रब  घासणी";"Scrubber";"प्लॅस्टिक प्रोडक्ट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"99";"Plastic Products";"पिशव्या";"Bag";"प्लॅस्टिक प्रोडक्ट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"100";"Instant Mix";"ढोकळा";"Dhokla";"इन्स्टंट मिक्स";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"101";"Instant Mix";"गुलाबजामून";"Gulabjamun";"इन्स्टंट मिक्स";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"102";"Instant Mix";"इडली";"Idli";"इन्स्टंट मिक्स";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"103";"Instant Mix";"डोसा";"Dosa";"इन्स्टंट मिक्स";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"104";"Material Of Worship";"हळद";"Turmeric";"पूजेचे समान";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"105";"Material Of Worship";"कुंकू";"Vermilion ";"पूजेचे समान";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"106";"Material Of Worship";"गुलाल";"Gulal";"पूजेचे समान";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107";"Material Of Worship";"बुका";"Ashtigandh";"पूजेचे समान";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"108";"Material Of Worship";"अगरबती";"Incense Stick";"पूजेचे समान";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"109";"Material Of Worship";"ऊद";"Dhoop";"पूजेचे समान";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"110";"Material Of Worship";"वाती";"Wick";"पूजेचे समान";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111";"Material Of Worship";"कापुर";"Champhor";"पूजेचे समान";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112";"Pulses";"पिवळा मूग";"Yellow Gram";"कडधान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"113";"Pulses";"हिरवा मूग";"Gren Gram";"कडधान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"114";"Pulses";"चवळी";"Black Eyed Peas";"कडधान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"115";"Pulses";"काळा घेवडा";"Kala Ghevda";"कडधान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"116";"Pulses";"राजमा";"Kidney Beans";"कडधान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"117";"Pulses";"वाघा घेवडा";"Vagha Ghevda";"कडधान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"118";"Pulses";"हुलगा";"Halaga";"कडधान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"119";"Pulses";"अक्खा मसूर";"Masoor";"कडधान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"120";"Pulses";"वाटाणा";"Peas";"कडधान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"121";"Pulses";"छोले";"chickpeas";"कडधान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"122";"Pulses";"सोयाबीन";"Soyabean";"कडधान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"123";"Pulses";"हुलगे";"Halge";"कडधान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"124";"Pulses";"जवस";"Linseed";"कडधान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"125";"Pulses";"देशी हरभरा";"Green Chickpea";"कडधान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"126";"Grain";"गहू";"Wheat";"धान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"127";"Grain";"ज्वारी";"Jowar";"धान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"128";"Grain";"बाजरी";"Bajara";"धान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"129";"Grain";"खपली गहू";"Khapli Wheat";"धान्य";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"130";"Chutney";"शेंगदाना चटणी";"Groundnut Chutney";"चटण्या";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"131";"Chutney";"तिळाची चटणी";"Seasame Chutney";"चटण्या";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"132";"Chutney";"जवसाचीचटणी";"Flax Seed Chuteny";"चटण्या";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"133";"Chutney";"कारळाची चटणी";"Niger Seed Chutney";"चटण्या";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"134";"Chutney";"सुक्या खोबर्‍याची चटणी";"Dri Coconut Chutney";"चटण्या";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"135";"Chutney";"पुदिना चटणी";"Mint Chutney";"चटण्या";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"136";"Chutney";"कडीपत्ता चटणी";"Kadipatta Chatney";"चटण्या";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"137";"Chutney";"ठेचा";"Thecha";"चटण्या";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"138";"Supari";"चिकणी सुपारी  ";"Chikni Supari";"सुपारी";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"139";"Supari";"कच्ची  सुपारी  ";"Kacchi Supari";"सुपारी";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"140";"Supari";"भाजलेली   सुपारी  ";"Baked Supari";"सुपारी";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"141";"Biscuits";"नमकीन बिस्कीट";"Namkin Biscuit";"बिस्कीट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"142";"Biscuits";"क्रीम  बिस्कीट";"Cream Biscuit";"बिस्कीट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"143";"Biscuits";"गोड़ बिस्कीट";"Sweet Biscuit";"बिस्कीट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"144";"Pickle";"कैरीचे लोणचे";"Mango pickle";"लोणचे";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"145";"Pickle";"लिंबाचे लोणचे";"Lemon Pickle";"लोणचे";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"146";"Pickle";"मिक्स लोणचे";"Mix Pickle";"लोणचे";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"147";"Pickle";"मिरचीचे लोणचे";"Chilli pickle";"लोणचे";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"148";"Bakery Products";"खारी";"Khari";"बेकरी प्रॉडक्ट्स";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"149";"Bakery Products";"टोस्ट";"Toast";"बेकरी प्रॉडक्ट्स";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"150";"Bakery Products";"बटर";"Butter";"बेकरी प्रॉडक्ट्स";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"151";"Bakery Products";"ब्रेड";"Bread";"बेकरी प्रॉडक्ट्स";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"152";"Bakery Products";"पाव";"Pav";"बेकरी प्रॉडक्ट्स";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
