"Oil";"Sunflower";"";"";""
"Oil";"Palm";"";"";""
"Oil";"Mustard";"";"";""
"Oil";"Wooden churner";"";"";""
"Spices";"Red Chilli Powder";"";"";""
"Spices";"Special Garam Masala";"";"";""
"Spices";"Onion Garlic Masala";"";"";""
"Spices";"Pickle Masala";"";"";""
"Spices";"Turmeric Powder";"";"";""
"Spices";"Coriander Powder";"";"";""
"Spices";"Chinamon";"";"";""
"Spices";"Clove";"";"";""
"Spices";"Black paper";"";"";""
"Spices";"Bey leaf";"";"";""
"Spices";"Spicy Cardamom";"";"";""
"Spices";"Green Cardamom";"";"";""
"Spices";"Mustard Seed";"";"";""
"Spices";"Whole Turmeric";"";"";""
"Spices";"Poppy Seed";"";"";""
"Spices";"Anice";"";"";""
"Spices";"Coriander Seed";"";"";""
"Spices";"Almond Flowers";"";"";""
"Spices";"Nagkesar";"";"";""
"Spices";"Fenugreek Seed";"";"";""
"Spices";"White Sesame";"";"";""
"Spices";"Ajwain Seed";"";"";""
"Spices";"Mesua ferrea";"";"";""
"Spices";"Fenugreek dal";"";"";""
"Spices";"Mustard dal";"";"";""
"Spices";"Nutmeg powder";"";"";""
"Spices";"Ginger powder";"";"";""
"Spices";"Ajwain powder";"";"";""
"Spices";"Asafoetida powder";"";"";""
"Milk and Milk Products";"Milk";"";"";""
"Milk and Milk Products";"Curd";"";"";""
"Milk and Milk Products";"Butter";"";"";""
"Milk and Milk Products";"Cheese";"";"";""
"Milk and Milk Products";"Paneer";"";"";""
"Milk and Milk Products";"Ghee";"";"";""
"Milk and Milk Products";"Lassi";"";"";""
"Milk and Milk Products";"Khawa";"";"";""
"Milk and Milk Products";"Shrikhand";"";"";""
"Milk and Milk Products";"Aamrkhand";"";"";""
"Milk and Milk Products";"Basundi";"";"";""
"Milk and Milk Products";"Scented milk";"";"";""
"Milk and Milk Products";"Rabdi";"";"";""
"Milk and Milk Products";"Ice-creame";"";"";""
"Milk and Milk Products";"Tak";"";"";""
"Milk and Milk Products";"Milk powder";"";"";""
"";"";"";"";""
