"तमालपत्र";"चुना,कात,";"";"फेस वॉश";"";"";"";"अननस";"";"कांदे";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"खसखस";"हळीव";"";"फेस क्रीम";"";"";"";"मोसंबी";"";"रताळी";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"कबाबचिनी";"राळे";"";"बॉडी लोशन";"";"";"";"संत्री";"";"कारले";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"नाकेशर";"खोबराकीस";"";"फेस पाउडर";"";"";"";"स्टोबेरी";"";"कच्ची कैरी";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"दगडफुल";"साधेपोहे";"";"परफुम";"";"";"";"देशी केळी";"";"नारळ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"बडीशेप";"दगडीपोहे";"";"हेअर ऑइल";"";"";"";"अंजीर";"";"आद्रक";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"केशर";"भाजके पोहे";"";"जेल";"";"";"";"";"";"हिरवी मिरचि";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"तिळ";"मकापोहे";"";"तुरटी";"";"";"";"";"";"लसूण";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"मेथी";"चुरमुरे";"";"काजळ";"";"";"";"";"";"फ्लावर";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"कसुरीमेथी";"साबुदाणा";"";"गुलाबपाणी";"";"";"";"";"";"कोबी";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"मध";"वारवि ";"";"टोयलेट क्लीनर";"";"";"";"";"";"मक्याचे कणीस";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ओवा";"मोठे मीठ";"";"काडेपेटी बॉक्स";"";"";"";"";"";"बिट";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"कलोंजी";"बारीक मीठ";"";"लायटर";"";"";"";"";"";"शिमलामिरचि";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"सुंठ";"शेवया";"";"ब्लेड";"";"";"";"";"";"पावटा";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"आमचूर";"नूडल्स";"";"शेविंग ब्लेड";"";"";"";"";"";"घेवडा";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"म्यागी";"";"शेविंग क्रीम";"";"";"";"";"";"गाजर";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"फूड कलर";"";"";"";"";"";"";"";"फरसबी";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"कारळे";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"पापडखार";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
